Nbre_de_piece,Prix,Adresse,Image_URL
6,474740000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5386766_uploaded_image1_1750607217.jpg
5,550000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5391968_uploaded_image1_1750866685.jpg
3,400000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5391958_uploaded_image1_1750866345.jpg
4,400000CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5382412_uploaded_image1_1750347529.jpg
3,250000CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5391956_uploaded_image1_1750866272.jpg
4,700000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5369671_uploaded_image1_1749651598.jpg
4,500000CFA,"Sicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5368138_uploaded_image1_1749567152.jpg
4,2500000CFA,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_5360185_uploaded_image1_1749042754.jpg
4,65900000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5360189_uploaded_image1_1749042943.jpg
4,518000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5388398_uploaded_image1_1750689380.jpg
Non spécifié,850000CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5382323_uploaded_image1_1750343992.jpg
3,350000CFA,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5356287_uploaded_image1_1748865036.jpg
5,600000000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5366382_uploaded_image1_1749471937.jpg
4,550000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5388260_uploaded_image1_1750684375.jpg
3,300000CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5389854_uploaded_image1_1750769638.jpg
4,170000000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5378687_uploaded_image1_1750162748.jpg
Non spécifié,199500000CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5396151_uploaded_image1_1751115150.jpg
Non spécifié,800000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5396136_uploaded_image1_1751114401.jpg
4,400000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5367782_uploaded_image1_1749553287.jpg
4,2200000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5394764_uploaded_image1_1751026681.jpg
5,370000000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374110_uploaded_image1_1749898078.jpg
4,1600000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5381999_uploaded_image1_1750333055.jpg
4,1000000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5391547_uploaded_image1_1750851531.jpg
4,500000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5381925_uploaded_image1_1750330181.jpg
4,1400000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5372708_uploaded_image1_1749813486.jpg
3,300000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5381904_uploaded_image1_1750329693.jpg
3,300000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5381915_uploaded_image1_1750329946.jpg
5,2500000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5370876_uploaded_image1_1749722992.jpg
2,300000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5385211_uploaded_image1_1750502812.jpg
4,550000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5385197_uploaded_image1_1750502372.jpg
2,75000000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5389621_uploaded_image1_1750761502.jpg
4,2200000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5358112_uploaded_image1_1748946421.jpg
3,130000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5391368_uploaded_image1_1750845351.jpg
3,150000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5391361_uploaded_image1_1750844929.jpg
4,1500000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5379922_uploaded_image1_1750232552.jpg
4,450000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5387395_uploaded_image1_1750642851.jpg
7,500000CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5395688_uploaded_image1_1751076164.jpg
2,250000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5354018_uploaded_image1_1748728838.jpg
4,400000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5389146_uploaded_image1_1750721346.jpg
Non spécifié,160000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5364681_uploaded_image1_1749337106.3.jpeg
Non spécifié,450000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5364660_uploaded_image1_1749335068.81.jpeg
3,275000CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5360802_uploaded_image1_1749064946.jpg
4,215000000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5362284_uploaded_image1_1749149322.jpg
2,200000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5381113_uploaded_image1_1750275063.jpg
5,3500000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5362230_uploaded_image2_1749147284.jpeg
2,180000CFA,"Damel, Dakar, Sénégal",https://images.coinafrique.com/thumb_5392217_uploaded_image1_1750876766.jpg
4,1500000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5358826_uploaded_image1_1748969475.jpg
2,250000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5371653_uploaded_image1_1749751767.jpg
4,750000CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5371659_uploaded_image1_1749751923.jpg
2,250000CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5371644_uploaded_image1_1749751392.jpg
4,725000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5390261_uploaded_image1_1750786107.jpg
4,700000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5390249_uploaded_image1_1750785556.jpg
3,325000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5395197_uploaded_image1_1751043703.jpg
4,1600000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5395181_uploaded_image1_1751043286.jpg
4,350000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5395174_uploaded_image1_1751043106.jpg
3,300000CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5392014_uploaded_image1_1750868795.jpg
4,92000000CFA,"Ngaparou, Sénégal",https://images.coinafrique.com/thumb_5384181_uploaded_image1_1750435212.jpg
4,1500000CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5395122_uploaded_image1_1751040612.jpg
4,450000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5395066_uploaded_image1_1751038741.jpg
Non spécifié,500000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5395058_uploaded_image1_1751038296.jpg
3,1500000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5375642_uploaded_image1_1750000228.jpg
3,160000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5389980_uploaded_image1_1750776766.jpg
1,Prixsurdemande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5371359_uploaded_image1_1749738227.jpg
5,250009CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5375566_uploaded_image1_1749994815.jpg
3,1300000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5385440_uploaded_image1_1750512872.jpg
3,450000CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5394906_uploaded_image1_1751031405.jpg
3,750000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5389874_uploaded_image1_1750770691.jpg
3,1600000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5394841_uploaded_image1_1751029017.jpg
3,180000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5389817_uploaded_image1_1750768319.jpg
2,800000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5394785_uploaded_image1_1751027513.jpg
1,45000000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5375468_uploaded_image1_1749989369.jpg
Non spécifié,450000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5394729_uploaded_image1_1751025530.jpg
2,110000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5389616_uploaded_image1_1750761416.jpg
4,250000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5389623_uploaded_image1_1750761599.jpg
4,800000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5394451_uploaded_image1_1751013999.jpg
3,750000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5370464_uploaded_image1_1749688348.jpg
3,750000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5370466_uploaded_image1_1749688381.jpg
5,Prixsurdemande,"Sicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5394157_uploaded_image1_1750984635.jpg
4,400000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5350179_uploaded_image1_1748467046.jpg
3,300000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5350173_uploaded_image1_1748466742.jpg
3,300000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5350175_uploaded_image1_1748466892.jpg
4,800000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5394082_uploaded_image1_1750979290.jpg
5,650000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5394077_uploaded_image1_1750978465.jpg
2,300000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5357232_uploaded_image1_1748899406.jpg
Non spécifié,1400000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5370253_uploaded_image1_1749673745.63.jpeg
4,1500000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5352678_uploaded_image1_1748631442.jpg
2,600000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5393863_uploaded_image1_1750966431.jpg
Non spécifié,650000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5393828_uploaded_image1_1750964429.jpg
4,1036000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5356930_uploaded_image1_1748886557.jpg
4,200000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5352565_uploaded_image1_1748626464.jpg
4,1000000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5384328_uploaded_image1_1750440485.jpg
4,450000CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5379192_uploaded_image1_1750178803.jpg
Non spécifié,250000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5352489_uploaded_image1_1748621650.jpg
2,250000CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5379178_uploaded_image1_1750177795.jpg
5,110000000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5352467_uploaded_image1_1748620309.jpg
4,300000CFA,"Djily MBaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5362056_uploaded_image1_1749138476.jpg
3,550000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5369873_uploaded_image1_1749656881.jpg
2,120000CFA,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5384117_uploaded_image1_1750432658.jpg
5,1500000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5388446_uploaded_image1_1750691472.jpg
7,1500000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5393481_uploaded_image2_1750950650.jpeg
3,500000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5393449_uploaded_image1_1750949108.jpg
1,128000000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374373_uploaded_image1_1749910617.jpg
3,185000000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374354_uploaded_image1_1749909198.jpg
2,250000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5356460_uploaded_image1_1748870585.jpg
4,1600000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5352287_uploaded_image1_1748610407.jpg
3,300000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5361872_uploaded_image1_1749127838.jpg
4,450000CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5361862_uploaded_image1_1749127250.jpg
1,160000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5383862_uploaded_image1_1750424344.jpg
3,70000000CFA,"Sipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_5361844_uploaded_image1_1749126862.jpg
4,1000000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5393286_uploaded_image1_1750942430.jpg
4,450000CFA,"Sipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_5369507_uploaded_image1_1749644848.jpg
1,180000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5383817_uploaded_image1_1750422740.jpg
Non spécifié,1500000CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5376925_uploaded_image1_1750077191.92.jpeg
3,700000CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374236_uploaded_image1_1749903906.jpg
4,700000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5383804_uploaded_image1_1750422316.jpg
3,400000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5383794_uploaded_image1_1750422055.jpg
2,250000CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5383787_uploaded_image1_1750421859.jpg
4,1100000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5378635_uploaded_image1_1750161169.jpg
4,400000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5393186_uploaded_image1_1750938387.jpg
4,500000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5393170_uploaded_image1_1750937793.jpg
2,160000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5393155_uploaded_image1_1750937455.jpg
4,181000000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5356048_uploaded_image1_1748858260.jpg
4,300000CFA,"Djily MBaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5369124_uploaded_image1_1749631838.jpg
2,250000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5392848_uploaded_image1_1750922578.jpg
4,1600000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5382989_uploaded_image1_1750371807.jpg
2,75000000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5382982_uploaded_image1_1750371536.jpg
2,165000000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5382971_uploaded_image1_1750371286.jpg
4,900000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5382945_uploaded_image1_1750370483.jpg
4,900000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5382907_uploaded_image1_1750369431.jpg
3,400000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5392437_uploaded_image1_1750888052.jpg
3,350000CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5382885_uploaded_image1_1750368624.jpg
3,290000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5382871_uploaded_image1_1750368138.jpg
8,200000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_5348341_uploaded_image1_1748369367.jpg
3,450000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5348364_uploaded_image1_1748371157.jpg
4,450000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5348362_uploaded_image1_1748371030.jpg
2,200000CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5382617_uploaded_image1_1750354976.jpg
3,380000CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5348386_uploaded_image1_1748371917.jpg
3,290000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5348378_uploaded_image1_1748371650.jpg
3,350000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5348374_uploaded_image1_1748371512.jpg
2,250000CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5349333_uploaded_image1_1748433482.jpg
3,400000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5349351_uploaded_image1_1748433922.jpg
3,350000CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5349329_uploaded_image1_1748433252.jpg
4,1200000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5368303_uploaded_image1_1749574368.jpg
3,290000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5349319_uploaded_image1_1748432855.jpg
1,180000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5349322_uploaded_image1_1748433022.jpg
2,250000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5392072_uploaded_image1_1750871424.jpg
4,700000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5373119_uploaded_image1_1749831824.jpg
3,225000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5391893_uploaded_image1_1750864129.jpg
3,600000CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5382315_uploaded_image1_1750343735.jpg
4,800000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5347743_uploaded_image1_1748346001.jpg
6,400000000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5391708_uploaded_image1_1750855384.jpg
3,210000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5391358_uploaded_image1_1750844847.jpg
3,54000000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5391176_uploaded_image1_1750835883.jpg
3,165000CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5390901_uploaded_image1_1750810505.jpg
3,300000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5346857_uploaded_image1_1748287540.jpg
5,800000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5390489_uploaded_image1_1750793750.jpg
2,1200000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5349968_uploaded_image1_1748456207.jpg
4,370000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5349854_uploaded_image1_1748449223.jpg
5,912000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5390016_uploaded_image1_1750777950.jpg
4,1300000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5370111_uploaded_image1_1749666620.jpg
4,180000000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5349092_uploaded_image1_1748423919.jpg
3,225CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5389545_uploaded_image1_1750759074.jpg
3,35000000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5388533_uploaded_image1_1750695633.jpg
12,550000CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5347875_uploaded_image1_1748351898.jpg
3,68000000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5388321_uploaded_image1_1750686873.jpg
